matchId,eventTime,homeTeam,awayTeam
g_3_WGj5ytvJ111,07.07. 19:35,Philadelphia 76ers,New York Knicks
g_3_8SEIhFAO111,07.07. 19:37,Los Angeles Lakers,Phoenix Suns
g_3_nPYiaqWP111,07.07. 19:39,Philadelphia 76ers,New York Knicks
g_3_bifSCIet111,07.07. 19:41,Miami Heat,Milwaukee Bucks
g_3_K6ryBdQh111,07.07. 19:43,Miami Heat,San Antonio Spurs
g_3_pKGvjugC111,07.07. 19:45,Phoenix Suns,Brooklyn Nets
g_3_tnAmlJNO111,07.07. 19:47,Phoenix Suns,Brooklyn Nets
g_3_2kzh7EPH111,07.07. 19:49,Los Angeles Lakers,Golden State Warriors
g_3_z3Ya5hfU111,07.07. 19:51,Los Angeles Lakers,Dallas Mavericks
g_3_6Ntq9ze5111,07.07. 19:53,Miami Heat,Memphis Grizzlies
g_3_ET3APeun111,07.07. 19:55,Los Angeles Lakers,Sacramento Kings
g_3_2RL3Dqmp111,07.07. 19:57,Dallas Mavericks,Detroit Pistons
